query,street_norm,city,zip5,latitude,longitude,source
"104 Rex Kerwin Ct, Pflugerville, TX, 78660",104 Rex Kerwin Ct,Pflugerville,78660,30.443658167688,-97.628710497345,prior
"1625 E 6th St, Austin, TX, 78702",1625 E 6th St,Austin,78702,30.262834841516,-97.726025494524,prior
"1000 E 41st St, Austin, TX, 78751",1000 E 41st St,Austin,78751,30.298710536593,-97.720197949461,prior
"10417 Crumley Ranch Rd, Austin, TX, 78738",10417 Crumley Ranch Rd,Austin,78738,30.266732335004,-98.02105390258,prior
"6929 Airport Blvd Ste 176 #, Austin, TX, 78752",6929 Airport Blvd Ste 176 #,Austin,78752,30.335627185138,-97.717652358945,prior
"11401 Century Oaks Ter Ste 121 #, Austin, TX, 78758",11401 Century Oaks Ter Ste 121 #,Austin,78758,30.400564690062,-97.726633685008,prior
"5301 Duval Rd, Austin, TX, 78727",5301 Duval Rd,Austin,78727,30.417532906159,-97.742206515308,prior
"1308 Picadilly Dr, Pflugerville, TX, 78660",1308 Picadilly Dr,Pflugerville,78660,30.466776669367,-97.644302675818,prior
"6929 Airport Blvd, Austin, TX, 78752",6929 Airport Blvd,Austin,78752,30.335627185138,-97.717652358945,prior
"1700 Montopolis Dr, Austin, TX, 78741",1700 Montopolis Dr,Austin,78741,30.227264270689,-97.702030470259,prior
"14211 W Sh 71, Bee Cave, TX, 78738",14211 W Sh 71,Bee Cave,78738,30.309486673352,-97.963333744026,prior
"1417 E Pfennig Ln, Pflugerville, TX, 78660",1417 E Pfennig Ln,Pflugerville,78660,30.454292835706,-97.610814412518,prior
"1709 E Pflugerville Pkwy, Pflugerville, TX, 78660",1709 E Pflugerville Pkwy,Pflugerville,78660,30.456142717555,-97.606310307769,prior
"105 Rex Kerwin Ct, Pflugerville, TX, 78660",105 Rex Kerwin Ct,Pflugerville,78660,30.443603811067,-97.628593485943,prior
"3311 Esperanza Xing, Austin, TX, 78758",3311 Esperanza Xing,Austin,78758,30.400509976566,-97.72681053687,prior
"5310 Duval Rd, Austin, TX, 78727",5310 Duval Rd,Austin,78727,30.418352070941,-97.743657884894,prior
"821 Gunter St, Austin, TX, 78702",821 Gunter St,Austin,78702,30.259361030684,-97.701511530882,prior
"3700 Adelphi Ln, Austin, TX, 78727",3700 Adelphi Ln,Austin,78727,30.421084943604,-97.714713635911,prior
"5913 La Crosse Ave, Austin, TX, 78739",5913 La Crosse Ave,Austin,78739,30.192229982706,-97.881618594012,prior
"2727 Exposition Blvd, Austin, TX, 78703",2727 Exposition Blvd,Austin,78703,30.303460699949,-97.764298941374,prior
"12413 Tech Ridge Blvd, Austin, TX, 78753",12413 Tech Ridge Blvd,Austin,78753,30.398928545485,-97.669405881735,prior
"1717 E Pflugerville Pkwy, Pflugerville, TX, 78660",1717 E Pflugerville Pkwy,Pflugerville,78660,30.45625184363,-97.605937995248,prior
"1401 Cedar Ave, Austin, TX, 78702",1401 Cedar Ave,Austin,78702,30.27689852169,-97.713371174073,prior
"2424 FM 685, Pflugerville, TX, 78660",2424 FM 685,Pflugerville,78660,30.460804048484,-97.599023916465,prior
"11700 Rock Rose Ave, Austin, TX, 78758",11700 Rock Rose Ave,Austin,78758,30.402759166151,-97.722086270903,prior
"500 E 51st St, Austin, TX, 78751",500 E 51st St,Austin,78751,30.314232555626,-97.719832649113,prior
"1182 N Pleasant Valley Rd, Austin, TX, 78702",1182 N Pleasant Valley Rd,Austin,78702,30.273371962231,-97.71466962817,prior
"2604 W Pecan St, Pflugerville, TX, 78660",2604 W Pecan St,Pflugerville,78660,30.446394203794,-97.645953750654,prior
"6215 N Lamar Blvd, Austin, TX, 78752",6215 N Lamar Blvd,Austin,78752,30.330440392074,-97.723424711813,prior
"4801 Monterey Oaks Blvd, Austin, TX, 78749",4801 Monterey Oaks Blvd,Austin,78749,30.232086315972,-97.840097682281,prior
"7900 E Ben White Blvd, Austin, TX, 78741",7900 E Ben White Blvd,Austin,78741,30.218949832363,-97.691074658427,prior
"10925 Stonelake Blvd, Austin, TX, 78759",10925 Stonelake Blvd,Austin,78759,30.399965129089,-97.735869855532,prior
"6616 McNeil Dr, Austin, TX, 78729",6616 McNeil Dr,Austin,78729,30.438897396664,-97.755894167725,prior
"3001 Palm Way, Austin, TX, 78758",3001 Palm Way,Austin,78758,30.402690193985,-97.719232815315,prior
"3808 Spicewood Springs Rd, Austin, TX, 78759",3808 Spicewood Springs Rd,Austin,78759,30.365058641693,-97.749593497577,prior
"13900 Immanuel Rd, Pflugerville, TX, 78660",13900 Immanuel Rd,Pflugerville,78660,30.405709638974,-97.628418357972,prior
"10019 W Parmer Ln, Austin, TX, 78717",10019 W Parmer Ln,Austin,78717,30.489754055784,-97.772113757377,prior
"6539 N Lamar Blvd, Austin, TX, 78752",6539 N Lamar Blvd,Austin,78752,30.333221646185,-97.721655981026,prior
"6203 N Capital of Texas Highway, Austin, TX, 78731",6203 N Capital of Texas Highway,Austin,78731,30.361412189276,-97.789872030691,prior
"4616 W Howard Ln, Austin, TX, 78728",4616 W Howard Ln,Austin,78728,30.443680693459,-97.707785958741,prior
"7601 Burnet Rd, Austin, TX, 78757",7601 Burnet Rd,Austin,78757,30.352284584312,-97.733119337282,prior
"4412 Medical Pkwy, Austin, TX, 78756",4412 Medical Pkwy,Austin,78756,30.313971856832,-97.742052083284,prior
"907 E Saint Johns Ave, Austin, TX, 78752",907 E Saint Johns Ave,Austin,78752,30.33175268952,-97.701953288674,prior
"4616 W Howard Ln #, Austin, TX, 78728",4616 W Howard Ln #,Austin,78728,30.443680693459,-97.707785958741,prior
"1105 Old Austin Hutto Rd, Pflugerville, TX, 78660",1105 Old Austin Hutto Rd,Pflugerville,78660,30.445189250729,-97.606802994157,prior
"20301 Jackies Ranch Blvd, Pflugerville, TX, 78660",20301 Jackies Ranch Blvd,Pflugerville,78660,30.474978649564,-97.562191442008,prior
"9200 Wall St, Austin, TX, 78754",9200 Wall St,Austin,78754,30.343531209144,-97.669220768378,prior
"2817 Kentish Dr, Austin, TX, 78748",2817 Kentish Dr,Austin,78748,30.188791218664,-97.83159952291,prior
"302 Medical Pkwy, Lakeway, TX, 78738",302 Medical Pkwy,Lakeway,78738,30.331294662143,-97.970662671985,prior
"1931 E Oltorf St, Austin, TX, 78741",1931 E Oltorf St,Austin,78741,30.231208037516,-97.735389637084,prior
"3101 E Pecan St, Pflugerville, TX, 78660",3101 E Pecan St,Pflugerville,78660,30.429024573235,-97.59894340759,prior
"709 W Stassney Ln, Austin, TX, 78745",709 W Stassney Ln,Austin,78745,30.200932735629,-97.769281902397,prior
"8107 Mesa Dr, Austin, TX, 78759",8107 Mesa Dr,Austin,78759,30.371686443853,-97.757099548714,prior
"7020 Easy Wind Dr, Austin, TX, 78752",7020 Easy Wind Dr,Austin,78752,30.338974129311,-97.7186752858,prior
"7410 McNeil Dr, Austin, TX, 78729",7410 McNeil Dr,Austin,78729,30.434936991111,-97.768193234442,prior
"812 Thurmond St, Austin, TX, 78758",812 Thurmond St,Austin,78758,30.353470487125,-97.705736821646,prior
"9910 Stonelake Blvd, Austin, TX, 78759",9910 Stonelake Blvd,Austin,78759,30.390957262418,-97.739613588114,prior
"7200 Elroy Rd, Del Valle, TX, 78617",7200 Elroy Rd,Del Valle,78617,30.156050105034,-97.641080854865,prior
"701 S Capital of Texas Highway, West Lake Hills, TX, 78746",701 S Capital of Texas Highway,West Lake Hills,78746,30.291975185145,-97.828148074585,prior
"3563 Far West Blvd, Austin, TX, 78731",3563 Far West Blvd,Austin,78731,30.35363917202,-97.753899686562,prior
"9215 W Parmer Ln, Austin, TX, 78717",9215 W Parmer Ln,Austin,78717,30.477916053087,-97.765514972732,prior
"14905 Dessau Rd, Pflugerville, TX, 78660",14905 Dessau Rd,Pflugerville,78660,30.421418234712,-97.628299932024,prior
"1701 E Martin Luther King Jr Blvd, Austin, TX, 78702",1701 E Martin Luther King Jr Blvd,Austin,78702,30.279432954776,-97.723102215588,prior
"12544 Riata Vista Cir, Austin, TX, 78727",12544 Riata Vista Cir,Austin,78727,30.430412926173,-97.735204442468,prior
"5607 N Lamar Blvd, Austin, TX, 78751",5607 N Lamar Blvd,Austin,78751,30.324342964139,-97.727283302596,prior
"14014 Thermal Dr, Austin, TX, 78728",14014 Thermal Dr,Austin,78728,30.431391635402,-97.674981041627,prior
"16051 Dessau Rd, Pflugerville, TX, 78660",16051 Dessau Rd,Pflugerville,78660,30.433584039524,-97.61737555703,prior
"700 Delmar Ave, Austin, TX, 78752",700 Delmar Ave,Austin,78752,30.336820075096,-97.703298800558,prior
"1902 E 6th St, Austin, TX, 78702",1902 E 6th St,Austin,78702,30.261716109748,-97.722398067481,prior
"2900 N Quinlan Park Rd, Austin, TX, 78732",2900 N Quinlan Park Rd,Austin,78732,30.36876565427,-97.893039605014,prior
"3300 Bee Caves Rd, West Lake Hills, TX, 78746",3300 Bee Caves Rd,West Lake Hills,78746,30.274473783156,-97.800434431365,prior
"500 Canyon Ridge Dr, Austin, TX, 78753",500 Canyon Ridge Dr,Austin,78753,30.40320422205,-97.67457615132,prior
"4613 Bee Caves Rd, West Lake Hills, TX, 78746",4613 Bee Caves Rd,West Lake Hills,78746,30.285871564085,-97.812617573805,prior
"901 W Braker Ln, Austin, TX, 78758",901 W Braker Ln,Austin,78758,30.381960004297,-97.686593590168,prior
"10936 Stonelake Blvd, Austin, TX, 78759",10936 Stonelake Blvd,Austin,78759,30.399157899028,-97.733661939338,prior
"10201 Stonelake Blvd, Austin, TX, 78759",10201 Stonelake Blvd,Austin,78759,30.392732499885,-97.739453966121,prior
"5625 West Gate Blvd, Austin, TX, 78745",5625 West Gate Blvd,Austin,78745,30.219685233817,-97.806746095531,prior
"9701 Stonelake Blvd, Austin, TX, 78759",9701 Stonelake Blvd,Austin,78759,30.387306672425,-97.738009745397,prior
"5720 McNeil Dr, Austin, TX, 78729",5720 McNeil Dr,Austin,78729,30.447907671232,-97.729795603875,prior
"3901 Spicewood Springs Rd, Austin, TX, 78759",3901 Spicewood Springs Rd,Austin,78759,30.36606186002,-97.751762385929,prior
"12801 Hill Country Blvd, Bee Cave, TX, 78738",12801 Hill Country Blvd,Bee Cave,78738,30.308699431842,-97.939835247299,prior
"1600 Chicon St, Austin, TX, 78702",1600 Chicon St,Austin,78702,30.276840715396,-97.720625957199,prior
"1045 Norwood Park Blvd, Austin, TX, 78753",1045 Norwood Park Blvd,Austin,78753,30.338440696999,-97.692586862497,prior
"6600 E Ben White Blvd, Austin, TX, 78741",6600 E Ben White Blvd,Austin,78741,30.212746089736,-97.711499582497,prior
"7404 McNeil Dr, Austin, TX, 78729",7404 McNeil Dr,Austin,78729,30.434957316942,-97.76812661088,prior
"2613 Rogers Ave, Austin, TX, 78722",2613 Rogers Ave,Austin,78722,30.282880845553,-97.714837861163,prior
"3518 S FM 973 Rd, Austin, TX, 78617",3518 S FM 973 Rd,Austin,78617,30.198785094942,-97.641766424749,prior
"2715 E 5th St, Austin, TX, 78702",2715 E 5th St,Austin,78702,30.256723508875,-97.711573393635,prior
"1617 N I-35 Service Rd, Austin, TX, 78702",1617 N I-35 Service Rd,Austin,78702,30.276219185669,-97.730297391107,prior
"1625 E Parmer Ln, Austin, TX, 78753",1625 E Parmer Ln,Austin,78753,30.387825522967,-97.650378426972,prior
"9700 Stonelake Blvd, Austin, TX, 78759",9700 Stonelake Blvd,Austin,78759,30.387331471689,-97.738299578907,prior
"7010 Easy Wind Dr, Austin, TX, 78752",7010 Easy Wind Dr,Austin,78752,30.339260793009,-97.718501778816,prior
"1710 W Parmer Ln, Austin, TX, 78727",1710 W Parmer Ln,Austin,78727,30.412474764441,-97.688729066206,prior
"2200 Manor Rd, Austin, TX, 78722",2200 Manor Rd,Austin,78722,30.284324406696,-97.719182054728,prior
"1014 N Lamar Blvd, Austin, TX, 78703",1014 N Lamar Blvd,Austin,78703,30.275208424921,-97.752256419933,prior
"13875 Bee Cave Pkwy, Bee Cave, TX, 78738",13875 Bee Cave Pkwy,Bee Cave,78738,30.313200375994,-97.957507437178,prior
"4807 Airport Blvd, Austin, TX, 78751",4807 Airport Blvd,Austin,78751,30.308439057941,-97.71556316867,prior
"73 San Marcos St, Austin, TX, 78702",73 San Marcos St,Austin,78702,30.258749586732,-97.735407146715,prior
"8143 Mesa Dr, Austin, TX, 78759",8143 Mesa Dr,Austin,78759,30.372188418786,-97.756835681692,prior
"315 Congress Ave, Austin, TX, 78701",315 Congress Ave,Austin,78701,30.265415226667,-97.743728689944,prior
"106 E 6th St, Austin, TX, 78701",106 E 6th St,Austin,78701,30.268080760219,-97.742654608599,prior
"1701 W Ben White Blvd, Austin, TX, 78704",1701 W Ben White Blvd,Austin,78704,30.227934544291,-97.785063267956,prior
"3901 Shoal Creek Blvd, Austin, TX, 78756",3901 Shoal Creek Blvd,Austin,78756,30.310157983524,-97.748455225704,prior
"1211 E Oltorf St, Austin, TX, 78704",1211 E Oltorf St,Austin,78704,30.234540554762,-97.743598514071,prior
"14016 N FM 620 Rd, Austin, TX, 78717",14016 N FM 620 Rd,Austin,78717,30.47502784197,-97.767674679427,prior
"300 E Huntland Dr, Austin, TX, 78752",300 E Huntland Dr,Austin,78752,30.330846436299,-97.710832037438,prior
"5100 Pleasanton Pkwy, Pflugerville, TX, 78660",5100 Pleasanton Pkwy,Pflugerville,78660,30.427073526111,-97.57430672802,prior
"13212 N Lamar Blvd, Austin, TX, 78753",13212 N Lamar Blvd,Austin,78753,30.417340140391,-97.675856048266,prior
"1607 Pennsylvania Ave, Austin, TX, 78702",1607 Pennsylvania Ave,Austin,78702,30.27123282923,-97.72258490844,prior
"9222 W Parmer Ln, Austin, TX, 78717",9222 W Parmer Ln,Austin,78717,30.478150668203,-97.765471774271,prior
"4211 Spicewood Springs Rd, Austin, TX, 78759",4211 Spicewood Springs Rd,Austin,78759,30.370734894685,-97.755763411414,prior
"1010 Turtle Creek Blvd, Austin, TX, 78745",1010 Turtle Creek Blvd,Austin,78745,30.205170234972,-97.789385932827,prior
"500 Mairo St, Austin, TX, 78748",500 Mairo St,Austin,78748,30.180440922647,-97.791069051211,prior
"2215 Kelly Ln, Pflugerville, TX, 78660",2215 Kelly Ln,Pflugerville,78660,30.468492604305,-97.586729576047,prior
"614 E Koenig Ln, Austin, TX, 78751",614 E Koenig Ln,Austin,78751,30.320651550573,-97.715751628557,prior
"5001 Airport Blvd, Austin, TX, 78751",5001 Airport Blvd,Austin,78751,30.311148054787,-97.715347163995,prior
"8127 Mesa Dr Ste 204 #, Austin, TX, 78759",8127 Mesa Dr Ste 204 #,Austin,78759,30.371966957622,-97.756965317502,prior
"200 Congress Ave, Austin, TX, 78701",200 Congress Ave,Austin,78701,30.264393379781,-97.744239306031,prior
"1601 Haskell St, Austin, TX, 78702",1601 Haskell St,Austin,78702,30.253942092548,-97.730690519583,prior
"6801 Airport BLVD, Austin, TX, 78752",6801 Airport BLVD,Austin,78752,30.334084478388,-97.716860419167,prior
"6700 Middle Fiskville Rd, Austin, TX, 78752",6700 Middle Fiskville Rd,Austin,78752,30.328743396077,-97.706862470584,prior
"10704 Bradshaw Rd, Austin, TX, 78747",10704 Bradshaw Rd,Austin,78747,30.136326531116,-97.774648855099,prior
"11031 S I-35 Service Rd, Austin, TX, 78747",11031 S I-35 Service Rd,Austin,78747,30.374392090896,-97.677308084774,prior
"2015 W Parmer Ln, Austin, TX, 78727",2015 W Parmer Ln,Austin,78727,30.415202601451,-97.694938163208,prior
"1700 E Slaughter Ln, Austin, TX, 78747",1700 E Slaughter Ln,Austin,78747,30.157428449815,-97.775193161671,prior
"9313 Pearson Ranch Rd, Austin, TX, 78717",9313 Pearson Ranch Rd,Austin,78717,30.501352583316,-97.751099790956,prior
"4715 Ross Rd, Del Valle, TX, 78617",4715 Ross Rd,Del Valle,78617,30.185022382587,-97.609407965578,prior
"5601 Menchaca Rd, Austin, TX, 78745",5601 Menchaca Rd,Austin,78745,30.215281659925,-97.797754733693,prior
"11601 Olson Dr, Austin, TX, 78750",11601 Olson Dr,Austin,78750,30.445495576459,-97.80478949809,prior
"7211 Burnet Rd, Austin, TX, 78757",7211 Burnet Rd,Austin,78757,30.34776093364,-97.735977786943,prior
"11801 Tanglebriar Trl, Austin, TX, 78750",11801 Tanglebriar Trl,Austin,78750,30.456976357858,-97.821380508088,prior
"1505 Town Creek Dr, Austin, TX, 78741",1505 Town Creek Dr,Austin,78741,30.241619041902,-97.72719409826,prior
"4900 McKinney Falls Pkwy, Austin, TX, 78744",4900 McKinney Falls Pkwy,Austin,78744,30.190133995163,-97.710222588495,prior
"4525 S I-35, Austin, TX, 78744",4525 S I-35,Austin,78744,30.206225479334,-97.757177975519,prior
"5301 Ross Rd, Del Valle, TX, 78617",5301 Ross Rd,Del Valle,78617,30.178219272974,-97.61519984697,prior
"3704 Kerbey Ln, Austin, TX, 78731",3704 Kerbey Ln,Austin,78731,30.308061852567,-97.750301447972,prior
"1201 Lavaca St, Austin, TX, 78701",1201 Lavaca St,Austin,78701,30.274565164947,-97.742946630803,prior
"1601 W 38th St, Austin, TX, 78731",1601 W 38th St,Austin,78731,30.308692562659,-97.749894084815,prior
"6111 FM 969 Rd, Austin, TX, 78724",6111 FM 969 Rd,Austin,78724,30.285248196052,-97.663358605185,prior
"4005 Market St, Bee Cave, TX, 78738",4005 Market St,Bee Cave,78738,30.307593691013,-97.937057361855,prior
"10001 W Parmer Ln, Austin, TX, 78717",10001 W Parmer Ln,Austin,78717,30.489477952544,-97.772002361278,prior
"3100 S Congress Ave, Austin, TX, 78704",3100 S Congress Ave,Austin,78704,30.23172895825,-97.758982686038,prior
"2107 Boca Raton Dr, Austin, TX, 78747",2107 Boca Raton Dr,Austin,78747,30.139331009119,-97.79488871707,prior
"10610 Salt Mill Holw, Austin, TX, 78750",10610 Salt Mill Holw,Austin,78750,30.453688757498,-97.805261325981,prior
"5604 FM 1327, Creedmoor, TX, 78610",5604 FM 1327,Creedmoor,78610,30.088820482962,-97.722679889095,prior
"7811 S 1st St, Austin, TX, 78745",7811 S 1st St,Austin,78745,30.184598560863,-97.792057170925,prior
"1239 E 51st St, Austin, TX, 78723",1239 E 51st St,Austin,78723,30.307830570258,-97.707311807612,prior
"6500 Saint Stephens Dr, Austin, TX, 78746",6500 Saint Stephens Dr,Austin,78746,30.329850830607,-97.818184577733,prior
"5908 Manor Rd, Austin, TX, 78723",5908 Manor Rd,Austin,78723,30.30662011911,-97.680057138928,prior
"6511 S I-35, Austin, TX, 78744",6511 S I-35,Austin,78744,30.19112860294,-97.769288780092,prior
"120 W Oltorf St, Austin, TX, 78704",120 W Oltorf St,Austin,78704,30.239435265218,-97.75443643168,prior
"2010 Alameda Dr, Austin, TX, 78704",2010 Alameda Dr,Austin,78704,30.241289993168,-97.745626030637,prior
"1202 FM 685, Pflugerville, TX, 78660",1202 FM 685,Pflugerville,78660,30.446061457659,-97.607899253284,prior
"4401 Freidrich Ln Ste 301 #, Austin, TX, 78744",4401 Freidrich Ln Ste 301 #,Austin,78744,30.20936532306,-97.749949893306,prior
"3713 Tudor Blvd, Austin, TX, 78759",3713 Tudor Blvd,Austin,78759,30.384476658071,-97.738597262162,prior
"2337 E Cesar Chavez St, Austin, TX, 78702",2337 E Cesar Chavez St,Austin,78702,30.255009641698,-97.718752353298,prior
"702 Cedar Ridge Dr, Pflugerville, TX, 78660",702 Cedar Ridge Dr,Pflugerville,78660,30.441241790837,-97.612935787274,prior
"401 FM 685, Pflugerville, TX, 78660",401 FM 685,Pflugerville,78660,30.439146370124,-97.612230415247,prior
"7612 Bluff Springs Rd, Austin, TX, 78744",7612 Bluff Springs Rd,Austin,78744,30.17505939315,-97.76948693554,prior
"2228 E Cesar Chavez St, Austin, TX, 78702",2228 E Cesar Chavez St,Austin,78702,30.25568554463,-97.720249333543,prior
"1601 Guadalupe St, Austin, TX, 78701",1601 Guadalupe St,Austin,78701,30.278903438665,-97.742519293146,prior
"15010 FM 1825, Pflugerville, TX, 78660",15010 FM 1825,Pflugerville,78660,30.442158537731,-97.66589653288,prior
"11601 W US 290 Highway, Austin, TX, 78737",11601 W US 290 Highway,Austin,78737,30.214228759214,-97.965778748773,prior
"12900 Tierra Grande Trl, Austin, TX, 78732",12900 Tierra Grande Trl,Austin,78732,30.343615071506,-97.915619436884,prior
"11908 N Lamar Blvd, Austin, TX, 78753",11908 N Lamar Blvd,Austin,78753,30.389553814255,-97.682886972503,prior
"12400 Mellow Meadow Dr, Austin, TX, 78750",12400 Mellow Meadow Dr,Austin,78750,30.456929955742,-97.797006795453,prior
"1000 E 41ST ST, Austin, TX, 78751",1000 E 41ST ST,Austin,78751,30.298710536593,-97.720197949461,prior
"807 Camino La Costa, Austin, TX, 78752",807 Camino La Costa,Austin,78752,30.329223185472,-97.705029525278,prior
"5501 N Lamar Blvd Ste C101 #, Austin, TX, 78751",5501 N Lamar Blvd Ste C101 #,Austin,78751,30.323240347568,-97.727986220693,prior
"15002 FM 1825, Pflugerville, TX, 78660",15002 FM 1825,Pflugerville,78660,30.442086077394,-97.665940009085,prior
"4001 N Quinlan Park Rd, Austin, TX, 78732",4001 N Quinlan Park Rd,Austin,78732,30.377632025349,-97.884811138209,prior
"7525 Burnet Rd, Austin, TX, 78757",7525 Burnet Rd,Austin,78757,30.350955657301,-97.734001347102,prior
"301 W 17th St, Austin, TX, 78701",301 W 17th St,Austin,78701,30.279429599972,-97.741285003399,prior
"1606 W Stassney Ln, Austin, TX, 78745",1606 W Stassney Ln,Austin,78745,30.213145298172,-97.792628104727,prior
"1701 W Parmer Ln, Austin, TX, 78727",1701 W Parmer Ln,Austin,78727,30.412575001523,-97.689597387958,prior
"801 E William Cannon Dr, Austin, TX, 78745",801 E William Cannon Dr,Austin,78745,30.191066692377,-97.772534681011,prior
"6500 Sitio del Rio Blvd, Austin, TX, 78730",6500 Sitio del Rio Blvd,Austin,78730,30.390269437589,-97.845620091577,prior
"609 Congress Ave, Austin, TX, 78701",609 Congress Ave,Austin,78701,30.268166937851,-97.742705614864,prior
"1612 Lavaca St, Austin, TX, 78701",1612 Lavaca St,Austin,78701,30.278729780359,-97.741546929141,prior
"2200 Berkeley Ave, Austin, TX, 78745",2200 Berkeley Ave,Austin,78745,30.209267705673,-97.805530050231,prior
"4103 W Slaughter Ln, Austin, TX, 78749",4103 W Slaughter Ln,Austin,78749,30.189085305358,-97.856938104584,prior
"10805 School House Ln, Austin, TX, 78750",10805 School House Ln,Austin,78750,30.457845715674,-97.804930716904,prior
"14650 Merriltown Rd, Austin, TX, 78728",14650 Merriltown Rd,Austin,78728,30.445901538022,-97.687110568575,prior
"2101 Faro Dr, Austin, TX, 78741",2101 Faro Dr,Austin,78741,30.228514839155,-97.713192512762,prior
"713 E Huntland Dr, Austin, TX, 78752",713 E Huntland Dr,Austin,78752,30.330401632037,-97.707007018606,prior
"11104 Oak View Dr, Austin, TX, 78759",11104 Oak View Dr,Austin,78759,30.418909056309,-97.768216182082,prior
"8403 Mesa Dr, Austin, TX, 78759",8403 Mesa Dr,Austin,78759,30.375411634151,-97.754708580327,prior
"200 E 6th St, Austin, TX, 78701",200 E 6th St,Austin,78701,30.267716626845,-97.741371917026,prior
"6205 N Lamar Blvd, Austin, TX, 78752",6205 N Lamar Blvd,Austin,78752,30.330382268984,-97.723462136394,prior
"11211 Tom Adams Dr, Austin, TX, 78753",11211 Tom Adams Dr,Austin,78753,30.373536526455,-97.669082272167,prior
"201 E Mary St, Austin, TX, 78704",201 E Mary St,Austin,78704,30.244763614798,-97.750104089123,prior
"310 E 6th St, Austin, TX, 78701",310 E 6th St,Austin,78701,30.267396136641,-97.74019661917,prior
"2011 W Rundberg Ln, Austin, TX, 78758",2011 W Rundberg Ln,Austin,78758,30.372369537152,-97.716739542106,prior
"12000 Shadowglen Trce, Manor, TX, 78653",12000 Shadowglen Trce,Manor,78653,30.364185183598,-97.541529574419,prior
"12601 Hill Country Blvd, Bee Cave, TX, 78738",12601 Hill Country Blvd,Bee Cave,78738,30.307673137434,-97.937162118775,prior
"1438 E Yager Ln, Austin, TX, 78753",1438 E Yager Ln,Austin,78753,30.387607568524,-97.652078611643,prior
"411 E 43rd St, Austin, TX, 78751",411 E 43rd St,Austin,78751,30.304961672301,-97.726913360625,prior
"6809 Bill Hughes Rd, Austin, TX, 78745",6809 Bill Hughes Rd,Austin,78745,30.194575848727,-97.785616739706,prior
"11300 Samsung Blvd, Austin, TX, 78754",11300 Samsung Blvd,Austin,78754,30.361530694477,-97.639327464523,prior
"3000 Jones Rd, Sunset Valley, TX, 78745",3000 Jones Rd,Sunset Valley,78745,30.22686095137,-97.806383106074,prior
"604 Brazos St, Austin, TX, 78701",604 Brazos St,Austin,78701,30.26778429723,-97.741485145386,prior
"306 E 6th St, Austin, TX, 78701",306 E 6th St,Austin,78701,30.267407773435,-97.740233953878,prior
"13414 Broadmeade Ave, Austin, TX, 78729",13414 Broadmeade Ave,Austin,78729,30.469872979965,-97.780490467766,prior
"3700 Convict Hill Rd, Austin, TX, 78749",3700 Convict Hill Rd,Austin,78749,30.211560689444,-97.834846694736,prior
"9700 McNeil Dr, Austin, TX, 78750",9700 McNeil Dr,Austin,78750,30.395015010413,-97.831160751947,prior
"6718 Middle Fiskville Rd, Austin, TX, 78752",6718 Middle Fiskville Rd,Austin,78752,30.328853269983,-97.706791217203,prior
"218 W 4th St, Austin, TX, 78701",218 W 4th St,Austin,78701,30.266693831776,-97.745024829311,prior
"3709 Promontory Point Dr Ste 212 #, Austin, TX, 78744",3709 Promontory Point Dr Ste 212 #,Austin,78744,30.210074553181,-97.727116814441,prior
"4515 Airport Blvd, Austin, TX, 78751",4515 Airport Blvd,Austin,78751,30.303837975031,-97.715902976657,prior
"12200 Meridian Park Blvd, Austin, TX, 78739",12200 Meridian Park Blvd,Austin,78739,30.185344169456,-97.921979600617,prior
"5106 Village Square Dr, Austin, TX, 78744",5106 Village Square Dr,Austin,78744,30.188216632343,-97.744219304129,prior
"2800 Metcalfe Rd, Austin, TX, 78741",2800 Metcalfe Rd,Austin,78741,30.226207115189,-97.736806655945,prior
"11300 Farrah, Austin, TX, 78748",11300 Farrah,Austin,78748,30.141864164148,-97.799676157017,prior
"701 Brazos St, Austin, TX, 78701",701 Brazos St,Austin,78701,30.268643803212,-97.741025524396,prior
"810 Red River St, Austin, TX, 78701",810 Red River St,Austin,78701,30.268485952772,-97.736501528085,prior
"2800 Sauls Dr, Austin, TX, 78728",2800 Sauls Dr,Austin,78728,30.455398173478,-97.679387502489,prior
"5201 Airport Blvd, Austin, TX, 78751",5201 Airport Blvd,Austin,78751,30.313113014409,-97.715170619575,prior
"12900 Dessau Rd, Austin, TX, 78754",12900 Dessau Rd,Austin,78754,30.398737869216,-97.6418410376,prior
"1501 Dessau Ridge Ln, Austin, TX, 78754",1501 Dessau Ridge Ln,Austin,78754,30.401061386663,-97.642674018319,prior
"11800 Stonehollow Dr, Austin, TX, 78758",11800 Stonehollow Dr,Austin,78758,30.399004416734,-97.709265715788,prior
"1511 Cripple Creek Dr, Austin, TX, 78758",1511 Cripple Creek Dr,Austin,78758,30.377654430395,-97.703871442592,prior
"8601 Tallwood Dr, Austin, TX, 78759",8601 Tallwood Dr,Austin,78759,30.377230415069,-97.749104359827,prior
"6405 S I-35, Austin, TX, 78744",6405 S I-35,Austin,78744,30.191741842378,-97.768790523031,prior
"1303 S Congress Ave, Austin, TX, 78704",1303 S Congress Ave,Austin,78704,30.25102621613,-97.749069039972,prior
"5214 Duval Rd, Austin, TX, 78727",5214 Duval Rd,Austin,78727,30.417499448212,-97.741862216537,prior
"4607 Bolm Rd, Austin, TX, 78702",4607 Bolm Rd,Austin,78702,30.261196072479,-97.698186445834,prior
