query,street_norm,city,zip5,latitude,longitude,source
"120 W Slaughter Ln, Austin, TX, 78748",120 W Slaughter Ln,Austin,78748,30.167280986672,-97.789020820083,prior
"2500 E 6th St, Austin, TX, 78702",2500 E 6th St,Austin,78702,30.258962089799,-97.714543856341,prior
"9415 Burnet Rd, Austin, TX, 78758",9415 Burnet Rd,Austin,78758,30.378019076313,-97.725252806182,prior
"6303 Cameron Rd, Austin, TX, 78723",6303 Cameron Rd,Austin,78723,30.319944828285,-97.696615293778,prior
"3301 Pinnacle Rd, Austin, TX, 78746",3301 Pinnacle Rd,Austin,78746,30.269524019532,-97.805304043015,prior
"1500 Barton Springs Rd, Austin, TX, 78704",1500 Barton Springs Rd,Austin,78704,30.261596317125,-97.760056782052,prior
"1300 E Anderson Ln Apt 1209, Austin, TX, 78752",1300 E Anderson Ln Apt 1209,Austin,78752,30.334408030543,-97.689391104866,prior
"1110 E 52nd St, Austin, TX, 78723",1110 E 52nd St,Austin,78723,30.309947865239,-97.708596384651,prior
"10700 Anderson Mill Rd, Austin, TX, 78750",10700 Anderson Mill Rd,Austin,78750,30.446953047535,-97.811995808788,prior
"2127 Lohmans Crossing Rd, Austin, TX, 78734",2127 Lohmans Crossing Rd,Austin,78734,30.342344748118,-97.971113317757,prior
"6000 FM 969 Rd, Austin, TX, 78724",6000 FM 969 Rd,Austin,78724,30.285588950146,-97.664714992356,prior
"1900 Simond Ave, Austin, TX, 78723",1900 Simond Ave,Austin,78723,30.297156546705,-97.704662002366,prior
"6305 Cameron Rd, Austin, TX, 78723",6305 Cameron Rd,Austin,78723,30.319960527604,-97.696599366933,prior
"1624 W 5th St, Austin, TX, 78703",1624 W 5th St,Austin,78703,30.274053280965,-97.763671270879,prior
"2127 Lohmans Crossing Rd, Lakeway, TX, 78734",2127 Lohmans Crossing Rd,Lakeway,78734,30.342344748118,-97.971113317757,prior
"1320 E 51st St, Austin, TX, 78723",1320 E 51st St,Austin,78723,30.30736157797,-97.706049150189,prior
"1920 S Congress Ave, Austin, TX, 78704",1920 S Congress Ave,Austin,78704,30.244943750634,-97.751446483967,prior
"1025 Barton Springs Rd, Austin, TX, 78704",1025 Barton Springs Rd,Austin,78704,30.260003076947,-97.754884016919,prior
"1808 Cedar Bend Dr, Austin, TX, 78758",1808 Cedar Bend Dr,Austin,78758,30.408435181389,-97.693142041334,prior
"2133 Lohmans Crossing Rd, Lakeway, TX, 78734",2133 Lohmans Crossing Rd,Lakeway,78734,30.342231184584,-97.970909383271,prior
"1600 W 5th St, Austin, TX, 78703",1600 W 5th St,Austin,78703,30.273789631278,-97.763322141067,prior
"311 W 5th St, Austin, TX, 78701",311 W 5th St,Austin,78701,30.267785185897,-97.745726821602,prior
"4700 Manor Rd, Austin, TX, 78723",4700 Manor Rd,Austin,78723,30.294550491204,-97.689272032572,prior
