rank,name,category,street,city,mean_score,n,min_score,max_score,latest_score,latest
1,PF - In-N-Out #316,Restaurant & Food Service,1600 Town Center Dr,Pflugerville,99.67,6,98,100,98,2026-03-05
2,Wingstop #2138,Restaurant & Food Service,1420 W Wells Branch Pkwy Ste 100,Pflugerville,99.6,5,99,100,100,2026-02-17
3,Chipotle Mexican Grill #874,Restaurant & Food Service,6301 W Parmer Ln Bldg 2,Austin,99.4,5,98,100,99,2026-04-21
4,BC - Baguette et Chocolat,Restaurant & Food Service,12101 Bee Cave Rd,Bee Cave,99.4,5,97,100,100,2026-01-07
5,Little Deli & Pizzeria,Restaurant & Food Service,1804 Briarcliff Blvd,Austin,99.4,5,98,100,100,2025-12-31
6,sweetgreen,Restaurant & Food Service,1900 Aldrich St Ste 140,Austin,99.17,6,96,100,100,2025-11-17
7,PF - Sonic,Restaurant & Food Service,1101 FM 685,Pflugerville,99.14,7,98,100,100,2026-02-20
8,PF - Raising Canes # 194,Restaurant & Food Service,2408 FM 685,Pflugerville,99.14,7,97,100,100,2026-01-22
9,Cloud Kitchen,Restaurant & Food Service,5610 N IH 35 Service Rd SB,Austin,99,7,96,100,100,2026-05-04
10,Wendy's #W129/11274,Restaurant & Food Service,10701 Research NB Blvd,Austin,98.8,5,98,100,98,2026-01-13
