old_facility_id,new_facility_id,business,gap_days
11872773,12399735,Pour Choices,175
12185773,178820,Epic Poke,269
2801307,179030,St. Michael's Catholic Preparatory School,364
12186654,178926,PF - Smiling Donuts,295
