facility_id,name,street,city,n,mean_score,min_score,max_score,latest,latest_score,category,venue
12185805,BC - Jules Design Bar,12700 Hill Country Blvd Ste T-110,Austin,3,96,92,100,2026-05-21,100,Restaurant & Food Service,BC - Jules Design Bar
12392401,Lone Star Family Market #2,7110 Cameron Rd,Austin,3,96,95,97,2025-06-16,96,Restaurant & Food Service,Lone Star Family Market
12392830,JuiceLand LMR,525 N Lamar Blvd,Austin,3,96,93,100,2025-07-03,93,Restaurant & Food Service,JuiceLand LMR
12393113,Tokyo Gardens Caterings LLC,8801 S Congress Ave,Austin,3,96,94,99,2025-07-29,94,Institutional & Catering,Tokyo Gardens Caterings LLC
12393133,Domino's 6593,2407 S Congress Ave Ste 200,Austin,4,96,95,98,2026-04-02,98,Restaurant & Food Service,Domino's
12393374,BC -Guidepost Montessori at Bee Cave,14058 Bee Cave Pkwy Bldg C,Bee Cave,6,96,93,100,2025-12-12,100,School & Childcare,BC -Guidepost Montessori at Bee Cave
12394651,Chuck E. Cheese's,10515 N Mopac NB Expy,Austin,4,96,92,99,2025-12-30,97,Restaurant & Food Service,Chuck E. Cheese's
12395228,TownePlace Suites Austin,2237 W Braker Ln,Austin,3,96,94,97,2026-02-26,97,Restaurant & Food Service,TownePlace Suites Austin
12396184,Lucky Lime,3400 Comsouth Dr Unit 117,Austin,3,96,94,98,2026-01-16,94,Restaurant & Food Service,Lucky Lime
12397268,BC - Crumbl Cookies,3944 S FM 620 Rd Ste 120,Bee Cave,3,96,92,100,2025-10-03,100,Restaurant & Food Service,BC - Crumbl Cookies
12397539,Lulu's Austin LLC,10402 Menchaca Rd Bldg 3,Austin,3,96,95,97,2025-12-30,96,Restaurant & Food Service,Lulu's Austin LLC
12397775,PF - Panera Bread #6318,18701 Limestone Commercial Dr,Pflugerville,6,96,91,99,2026-02-26,96,Restaurant & Food Service,PF - Panera Bread
12398004,Sonic,8602 FM 969 Rd Bldg 2,Austin,7,96,92,99,2026-02-26,93,Restaurant & Food Service,Sonic
12398077,McDonald's 23614,3909 S Congress Ave,Austin,5,96,95,97,2026-03-17,96,Restaurant & Food Service,McDonald's
12398244,Side Eye Pie LLC,3400 Comsouth Dr Unit 129,Austin,3,96,93,100,2026-01-16,93,Restaurant & Food Service,Side Eye Pie LLC
12399126,CookUnity Inc.,1300 E Anderson Ln Apt 1314 Bldg D,Austin,3,96,94,98,2026-03-17,98,Restaurant & Food Service,CookUnity Inc.
2800342,Oak Springs Elementary,3601 Webberville Rd,Austin,6,95.83,92,99,2026-02-20,99,School & Childcare,Oak Springs Elementary
10314222,Anderson Mill Elementary School,10610 Salt Mill Holw,Austin,6,95.83,92,100,2026-05-18,92,School & Childcare,Anderson Mill Elementary School
10936961,Wayside Schools,6405 S Ih 35,Austin,6,95.83,90,100,2026-05-08,100,School & Childcare,Wayside Schools
11066712,Taco Bell #030074,2308 E Riverside Dr,Austin,6,95.83,89,100,2026-03-24,99,Restaurant & Food Service,Taco Bell
11119162,Wendy's W-125/9854,5760 Airport Blvd,Austin,6,95.83,91,100,2026-04-13,96,Restaurant & Food Service,Wendy's W-125
2801271,Stepping Stone School,6616 McNeil Dr,Austin,5,95.8,91,100,2026-05-21,94,School & Childcare,Stepping Stone School
11087502,MN - Wal-Mart # 3169 - Deli,11923 E US 290 EB Hwy,Manor,5,95.8,93,99,2025-11-25,95,Grocery,MN - Wal-Mart # 3169 - Deli
11523816,"Texas New Leaf, LLC.",11711 N Lamar Blvd,Austin,5,95.8,95,97,2026-01-23,95,Restaurant & Food Service,"Texas New Leaf, LLC."
11943085,Bird Bird Biscuit,2701 Manor Rd,Austin,5,95.8,94,97,2026-03-10,97,Restaurant & Food Service,Bird Bird Biscuit
12076836,Lexus of Austin,9910 Stonelake Blvd,Austin,5,95.8,90,98,2026-05-20,98,Restaurant & Food Service,Lexus of Austin
12170830,Texas Republic Pizza Company,4631 Airport Blvd Ste 124,Austin,5,95.8,89,99,2026-05-01,95,Restaurant & Food Service,Texas Republic Pizza Company
12186462,Burger King #17526,2500 E Riverside Dr,Austin,5,95.8,92,99,2025-12-02,96,Restaurant & Food Service,Burger King
12397053,Manana,111 Sandra Muraida Way Ste 101,Austin,5,95.8,94,98,2025-07-31,96,Restaurant & Food Service,Manana
12398690,Jimmy John's,2937 W Anderson Ln,Austin,5,95.8,93,100,2026-02-11,94,Restaurant & Food Service,Jimmy John's
12399111,COTA - 34 Chophouse Grand Plaza,9201 Circuit of the Americas Blvd,Del Valle,5,95.8,93,100,2026-03-26,96,Venue & Concessions,COTA - 34 Chophouse Grand Plaza
2800556,Joe's Bakery,2305 E 7th St,Austin,4,95.75,94,97,2025-07-08,97,Restaurant & Food Service,Joe's Bakery
2801175,Waterloo Ice House,8600 Burnet Rd,Austin,4,95.75,92,98,2026-03-03,98,Restaurant & Food Service,Waterloo Ice House
2801800,Auntie Anne's,11200 Lakeline Mall Dr,Cedar Park,4,95.75,94,97,2025-12-15,97,Restaurant & Food Service,Auntie Anne's
2801851,Child Inc-- Forbes,2217 Forbes Dr,Austin,4,95.75,95,97,2025-12-04,95,Restaurant & Food Service,Child Inc-- Forbes
10176495,Chipotle Mexican Grill #501,801 Congress Ave,Austin,4,95.75,93,98,2026-02-03,93,Restaurant & Food Service,Chipotle Mexican Grill
