permitID,facility_id,match_method,confidence,n_shared_events,p_name_raw,p_addr_raw,p_city,p_zip,i_name_raw,i_addr_raw,status
148C8243-2083-433C-9BEB-FE4C01CCCA9E,11761902,name+street+zip,exact,NA,Supermercado Los Vaqueros #2 Bakery,6800 Berkman Dr,Austin,78723,Supermercado Los Vaqueros #2 Bakery,6800 Berkman Dr,matched
EB1A77F3-68E2-46D8-A271-A318411297DC,11761885,name+street+zip,exact,NA,Supermercado Los Vaqueros #2 Grocery & Produce,6800 Berkman Dr,Austin,78723,Supermercado Los Vaqueros #2 Grocery & Produce,6800 Berkman Dr,matched
B81BB4F6-4921-4211-96D3-84A70890B70B,11761890,name+street+zip,exact,NA,Supermercado Los Vaqueros #2 Taqueria,6800 Berkman Dr,Austin,78723,Supermercado Los Vaqueros #2 Taqueria,6800 Berkman Dr,matched
C7A31DC8-F3D7-4F75-9C6D-574B194816AB,11761897,name+street+zip,exact,NA,"Supermercado Los Vaqueros #2Seafood,Creamria, Meat",6800 Berkman Dr,Austin,78723,"Supermercado Los Vaqueros #2 Seafood, Creamria, Meat",6800 Berkman Dr,matched
96BA0FD5-AC9F-446E-8C8C-9C362C8B1C7E,11761889,name+street+zip,exact,NA,"Supermercado Los Vaqueros#1(Seafood,Creamria&Meat)",8752  RESEARCH SB BLVD,AUSTIN,78757,"Supermercado Los Vaqueros #1 (Seafood, Creamria & Meat)",8752 RESEARCH SB BLVD,matched
00A5CB9E-F820-4671-BD9D-D5EBF17715FA,12396309,name+street+zip,exact,NA,Suprabhat,9225 W Parmer Ln Ste 108 # Bunit,Austin,78717,Suprabhat,9225 W Parmer Ln Ste 108 # Bunit,matched
96C97002-000B-4082-BEF9-8E06EE74EE9D,12400141,name+street+zip,exact,NA,Supreme Halal Food,8213 Brodie Ln Ste 100,Austin,78745,Supreme Halal Food,8213 Brodie Ln Ste 100,matched
DDF64887-3F7A-4E08-A3B4-27EE687B96E0,12397523,name+street+zip,exact,NA,Sur La Table,11800 Domain Blvd Ste 130,Austin,78758,Sur La Table,11800 Domain Blvd Ste 130,matched
E90AEBD4-6F85-4A93-A7AA-C903D305B355,11804662,name+street+zip,exact,NA,Susan's Deli,12015 Park Thirty Five Cir,Austin,78753,Susan's Deli,12015 Park Thirty Five Cir,matched
DC5DF174-AE76-43C3-928D-1D11453FA5E3,11503556,name+street+zip,exact,NA,Sushi BangBang Inc.,14005 N US 183 HWY NB SVRD Unit 1000,AUSTIN,78717,Sushi BangBang Inc.,14005 N US 183 HWY NB SVRD Unit 1000,matched
97195E31-80CB-4C42-85D4-91E7DC73C5DA,12401621,name+street+zip,exact,NA,Sushi By Scratch Restaurants: Austin,603 Brazos St,Austin,78701,Sushi By Scratch Restaurants: Austin,603 Brazos St,matched
146B1F64-880C-4620-8BB2-E0161F48E232,11008369,name+street+zip,exact,NA,Sushi Japon Steak House,807  CAMINO LA COSTA,AUSTIN,78752,Sushi Japon Steak House,807 CAMINO LA COSTA,matched
EE349BF0-83F7-4B78-8C0C-432D9DC8451E,11800993,name+street+zip,exact,NA,Sushi Junai,1612 Lavaca St,Austin,78701,Sushi Junai,1612 Lavaca St,matched
66ADE18B-5F84-4A8A-BFE8-6F04FF415597,11442537,name+street+zip,exact,NA,Sushi Junai 2,2500 W Parmer Ln Ste 100,Austin,78727,Sushi Junai 2,2500 W Parmer Ln Ste 100,matched
3DCEDDE5-FC8F-40D1-AEB3-BF7E48ECD2FB,12185717,name+street+zip,exact,NA,Sushi Junai Omakase,315 Congress Ave Ste 100,Austin,78701,Sushi Junai Omakase,315 Congress Ave Ste 100,matched
722DB507-2D7A-4FBD-80CE-6466B9147A27,12399755,name+street+zip,exact,NA,Sushi Roku,405 Colorado St Ste 100,Austin,78701,Sushi Roku,405 Colorado St Ste 100,matched
D9AC73BB-E8D7-4789-A37C-BADD226CE208,12401018,name+street+zip,exact,NA,Susie Cakes Bakery,1111 W 6th St Bldg A Ste 110,Austin,78703,Susie Cakes Bakery,1111 W 6th St Bldg A Ste 110,matched
3CB46D93-B58D-4111-BE49-655EFF25A1FC,12397598,name+street+zip,exact,NA,SusieCakes,3267 Bee Caves Rd Ste 123,Austin,78746,SusieCakes,3267 Bee Caves Rd Ste 123,matched
